Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,11:40:31,-,-,1,fark.com,64.191.171.200,/,GET,301,text/html,,,-1,141,141,,415,556,,-1,0,278,-1,0,0,279,414,178,509,345,0,,,"Wed, 08 Jul 2015 23:40:33 GMT",0,
07/08/2015,11:40:31,-,-,2,www.fark.com,64.191.171.200,/,GET,200,text/html,gzip,,-1,328,149,,951,1279,,-1,558,812,-1,0,0,812,951,36400,36738,349,0,,,"Wed, 08 Jul 2015 11:40:32 GMT",0,
07/08/2015,11:40:31,-,-,3,www.fark.com,64.191.171.200,/css/minfarkstyle_new_22685.css,GET,200,text/css,gzip,,-1,425,147,,1138,1563,,-1,0,0,-1,0,0,812,952,26622,27032,354,0,http://www.fark.com/,28,"Thu, 09 Jul 2015 11:40:33 GMT",0,
07/08/2015,11:40:31,-,-,4,www.fark.com,64.191.171.200,/js/jquery-farktools.min_22528.js,GET,200,application/javascript,,,-1,1388,169,,1139,2527,,-1,0,0,-1,0,0,813,952,260104,260479,341,0,http://www.fark.com/,187,"Thu, 09 Jul 2015 11:40:33 GMT",0,
07/08/2015,11:40:31,ad,Rubicon,5,tap-cdn.rubiconproject.com,77.67.28.48,/partner/scripts/rubicon/dorothy.js?pc=9659/17567,GET,200,text/javascript,gzip,Akamai,-1,159,152,,1260,1419,,-1,1138,1216,-1,0,0,1217,1260,6440,6839,371,0,http://www.fark.com/,94,"Wed, 08 Jul 2015 12:40:33 GMT",0,
07/08/2015,11:40:31,ad,Quantcast,6,edge.quantserve.com,77.67.28.72,/quant.js,GET,200,application/x-javascript,gzip,Akamai,-1,56,53,,1279,1335,,-1,1148,1222,-1,0,0,1223,1279,3037,3389,324,0,http://www.fark.com/,342,"Thu, 09 Jul 2015 11:40:33 GMT",0,
07/08/2015,11:40:31,-,-,7,www.fark.com,64.191.171.200,/css/jquery-ui.min.css,GET,200,text/css,gzip,,-1,190,176,,1280,1470,,-1,0,0,-1,0,0,0,0,4010,4414,345,0,http://www.fark.com/,187,"Thu, 09 Jul 2015 11:40:33 GMT",0,
07/08/2015,11:40:31,-,-,8,www.fark.com,64.191.171.200,/js/joyride/joyride-2.1.css,GET,200,text/css,gzip,,-1,189,182,,1281,1470,,-1,0,0,-1,0,0,1138,1280,1750,2153,350,0,http://www.fark.com/,241,"Thu, 09 Jul 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,-,-,9,www.fark.com,64.191.171.200,/js/ckeditor/ckeditor.js,GET,200,application/javascript,,,-1,1668,185,,1281,2949,,-1,0,0,-1,0,0,1139,1281,343259,343630,332,0,http://www.fark.com/,195,"Thu, 09 Jul 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,ad,ShareThrough,10,native.sharethrough.com,93.184.220.76,/assets/tag.js,GET,200,application/x-javascript,gzip,Edgecast,-1,172,56,,1282,1454,,-1,1143,1250,-1,0,0,1250,1281,62525,62913,333,0,http://www.fark.com/,258,"Wed, 08 Jul 2015 12:40:33 GMT",0,
07/08/2015,11:40:31,-,-,11,www.fark.com,64.191.171.200,/js/joyride/modernizr.mq.js,GET,200,application/javascript,,,-1,303,217,,1306,1609,,-1,0,0,-1,0,0,1142,1306,5442,5815,335,0,http://www.fark.com/,242,"Thu, 09 Jul 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,-,-,12,www.fark.com,64.191.171.200,/js/joyride/jquery.joyride-2.1.js,GET,200,application/javascript,,,-1,201,149,,1471,1672,,-1,0,0,-1,0,0,0,0,30172,30546,341,0,http://www.fark.com/,243,"Thu, 09 Jul 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,ad,Federated Media,13,static.fmpub.net,205.234.175.175,/site/fark,GET,200,application/x-javascript,gzip,Cachefly,-1,107,107,,1611,1718,,-1,1305,1571,-1,0,0,1572,1610,1386,1865,322,0,http://www.fark.com/,1504,"Thu, 09 Jul 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,widget,Facebook Connect,14,connect.facebook.net,,/en_US/all.js,GET,200,application/x-javascript,gzip,Facebook,-1,833,129,,1691,2524,,-1,1279,1481,-1,1539,1691,1481,1539,0,54426,320,0,http://www.fark.com/,1491,"Wed, 08 Jul 2015 12:00:34 GMT",0,
07/08/2015,11:40:31,-,-,15,img.fark.net,64.191.171.204,/images/2014/links/jezebel.png,GET,200,image/png,,,-1,1483,256,,1811,3294,,-1,1148,1569,-1,0,0,1569,1811,2487,2872,355,0,http://www.fark.com/,389,"Fri, 07 Aug 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,ad,Rubicon,16,anvil.rubiconproject.com,31.186.225.25,/a/api/market.js?&account_id=9659&site_id=17567&zone_id=49005&rtb_model=1&cb=oz_onValuationLoaded_49005_15&size_id=15,GET,200,application/x-javascript,gzip,,-1,158,155,,1930,2088,,-1,1611,1813,-1,0,0,1813,1929,1682,2445,437,0,http://tap-cdn.rubiconproject.com/partner/scripts/rubicon/dorothy.js?pc=9659/17567,26,,0,
07/08/2015,11:40:31,widget,Google+ Platform,17,apis.google.com,,/js/plusone.js,GET,200,application/javascript,gzip,Google,-1,370,229,,1987,2357,,-1,1278,1481,-1,1540,1986,1481,1540,0,16408,374,0,http://www.fark.com/,1488,"Wed, 08 Jul 2015 11:40:34 GMT",0,
07/08/2015,11:40:31,ad,Rubicon,18,anvil.rubiconproject.com,31.186.225.25,/a/api/market.js?&account_id=9659&site_id=17567&zone_id=49005&rtb_model=1&cb=oz_onValuationLoaded_49005_2&size_id=2,GET,200,application/x-javascript,gzip,,-1,120,119,,2109,2229,,-1,0,0,-1,0,0,0,0,2103,2490,667,0,http://tap-cdn.rubiconproject.com/partner/scripts/rubicon/dorothy.js?pc=9659/17567,26,,0,
07/08/2015,11:40:31,ad,Rubicon,19,anvil.rubiconproject.com,31.186.225.25,/a/api/market.js?&account_id=9659&site_id=17567&zone_id=49007&rtb_model=1&cb=oz_onValuationLoaded_49007_15&size_id=15,GET,200,application/x-javascript,gzip,,-1,62,61,,2247,2309,,-1,0,0,-1,0,0,0,0,1743,2130,669,0,http://tap-cdn.rubiconproject.com/partner/scripts/rubicon/dorothy.js?pc=9659/17567,26,,0,
07/08/2015,11:40:31,ad,Rubicon,20,anvil.rubiconproject.com,31.186.225.25,/a/api/market.js?&account_id=9659&site_id=17567&zone_id=49007&rtb_model=1&cb=oz_onValuationLoaded_49007_2&size_id=2,GET,200,application/x-javascript,gzip,,-1,79,77,,2322,2401,,-1,0,0,-1,0,0,0,0,2087,2474,667,0,http://tap-cdn.rubiconproject.com/partner/scripts/rubicon/dorothy.js?pc=9659/17567,26,,0,
07/08/2015,11:40:31,ad,DoubleClick,21,www.googletagservices.com,74.125.136.155,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,124,65,,2528,2652,,-1,2418,2492,-1,0,0,2492,2528,16486,17044,335,0,http://www.fark.com/,141,"Wed, 08 Jul 2015 11:40:35 GMT",0,
07/08/2015,11:40:31,-,-,22,tpc.googlesyndication.com,74.125.136.132,/safeframe/1-0-2/html/container.html,GET,200,text/html,gzip,Google,-1,42,42,,2796,2838,,-1,2669,2741,-1,0,0,2741,2796,1877,2280,428,0,http://www.googletagservices.com/tag/js/gpt.js,91,"Wed, 06 Jul 2016 06:20:06 GMT",0,
07/08/2015,11:40:31,ad,OpenX,23,ox-d.fark.servedbyopenx.com,173.241.240.219,/w/1.0/jstag?ef=db&nc=1055466-fark,GET,200,text/javascript,gzip,,-1,81,43,,2963,3044,,-1,2671,2931,-1,0,0,2932,2963,16490,16792,357,0,http://www.fark.com/,147,"Wed, 08 Jul 2015 12:40:35 GMT",0,
07/08/2015,11:40:31,ad,DoubleClick,24,www.googletagservices.com,74.125.136.155,/tag/js/check_359604.js,GET,200,text/javascript,gzip,Google,-1,67,67,,3068,3135,,-1,0,0,-1,0,0,0,0,1878,2419,344,0,http://www.googletagservices.com/tag/js/gpt.js,91,"Wed, 08 Jul 2015 11:53:46 GMT",0,
07/08/2015,11:40:31,-,-,25,img.fark.net,64.191.171.204,/images/2009/site/shareFacebook.gif,GET,200,image/gif,,,-1,197,197,,3068,3265,,-1,0,0,-1,0,0,1660,1868,508,890,360,0,http://www.fark.com/,397,"Fri, 07 Aug 2015 11:40:35 GMT",0,
07/08/2015,11:40:31,widget,Pinterest,26,assets.pinterest.com,23.34.191.154,/js/pinit.js,GET,200,application/javascript,gzip,Akamai,-1,84,84,,3156,3240,,-1,3064,3124,-1,0,0,3124,3156,258,778,328,0,http://www.fark.com/,1335,,0,
07/08/2015,11:40:31,-,-,27,www.fark.com,64.191.171.200,/ll,GET,200,image/gif,,,-1,170,170,,3244,3414,,-1,0,0,-1,0,0,0,0,61,336,406,0,http://www.fark.com/,1481,"Wed, 15 Jul 2015 07:40:35 EDT",0,
