Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,11:45:35,-,-,1,thehill.com,64.147.104.30,/,GET,200,text/html,gzip,,-1,639,124,,555,1194,,-1,0,446,-1,0,0,446,554,35424,36160,348,0,,,,0,
07/08/2015,11:45:35,-,-,2,thehill.com,64.147.104.30,/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css,GET,200,text/css,gzip,,-1,114,114,,713,827,,-1,0,0,-1,0,0,446,555,1907,2240,397,0,http://thehill.com/,32,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,3,thehill.com,64.147.104.30,/sites/default/files/css/css_Cwasr4Wu8GfebhCjmZhsnqp4tY2RKPKf2nNiXO1q4dg.css,GET,200,text/css,gzip,,-1,126,116,,714,840,,-1,0,0,-1,0,0,510,619,2565,2898,397,0,http://thehill.com/,33,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,4,thehill.com,64.147.104.30,/sites/default/files/css/css_zzFriHda7ID8djI4aAzhFRT87-IjKGZSteQmr6s95TI.css,GET,200,text/css,gzip,,-1,133,132,,823,956,,-1,0,0,-1,0,0,713,823,1511,1844,397,0,http://thehill.com/,34,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,5,maps.googleapis.com,74.125.136.95,/maps/api/js?sensor=false,GET,200,text/javascript,gzip,Google,-1,57,57,,823,880,,-1,725,788,-1,0,0,788,823,969,1325,339,0,http://thehill.com/,86,"Wed, 08 Jul 2015 12:15:37 GMT",0,
07/08/2015,11:45:35,-,-,6,thehill.com,64.147.104.30,/sites/default/files/css/css_RsZRxt-6sNdyCGxi5ReKlzT1-Oq3gQx9-M8zfdptid0.css,GET,200,text/css,gzip,,-1,581,159,,829,1410,,-1,0,0,-1,0,0,0,0,24999,25333,397,0,http://thehill.com/,35,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,ad,DoubleClick,7,www.googletagservices.com,74.125.136.155,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,145,67,,840,985,,-1,725,794,-1,0,0,794,840,16514,17070,334,0,http://thehill.com/,41,"Wed, 08 Jul 2015 11:45:37 GMT",0,
07/08/2015,11:45:35,-,-,8,thehill.com,64.147.104.30,/sites/all/modules/jquery_update/replace/jquery/1.7/jquery.min.js?v=1.7.1,GET,200,application/x-javascript,gzip,,-1,765,165,,841,1606,,-1,0,0,-1,0,0,722,841,33186,33536,379,0,http://thehill.com/,36,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,9,thehill.com,64.147.104.30,/misc/jquery.once.js?v=1.2,GET,200,application/x-javascript,gzip,,-1,154,154,,841,995,,-1,0,0,-1,0,0,722,841,1066,1415,332,0,http://thehill.com/,37,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,10,thehill.com,64.147.104.30,/misc/drupal.js?nr4dh8,GET,200,application/x-javascript,gzip,,-1,336,155,,842,1178,,-1,0,0,-1,0,0,0,0,4976,5326,328,0,http://thehill.com/,42,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,widget,Typekit by Adobe,11,use.typekit.net,192.229.233.37,/ylz3ven.js,GET,200,text/javascript,gzip,Edgecast,-1,66,51,,887,953,,-1,792,857,-1,0,0,857,887,9391,9804,321,0,http://thehill.com/,103,,0,
07/08/2015,11:45:35,widget,AddThis,12,s7.addthis.com,104.16.61.8,/js/300/addthis_widget.js,GET,200,text/javascript,gzip,Cloudflare,-1,275,71,,887,1162,,-1,793,856,-1,0,0,856,887,90594,91055,334,0,http://thehill.com/,105,,0,
07/08/2015,11:45:35,-,-,13,thehill.com,64.147.104.30,/sites/all/modules/menu_attach_block/menu_attach_block.js?nr4dh8,GET,200,application/x-javascript,gzip,,-1,164,164,,957,1121,,-1,0,0,-1,0,0,0,0,345,694,370,0,http://thehill.com/,76,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,14,thehill.com,64.147.104.30,/sites/all/libraries/colorbox/jquery.colorbox-min.js?nr4dh8,GET,200,application/x-javascript,gzip,,-1,292,176,,996,1288,,-1,0,0,-1,0,0,0,0,4569,4919,365,0,http://thehill.com/,83,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,15,thehill.com,64.147.104.30,/sites/all/modules/colorbox/js/colorbox.js?nr4dh8,GET,200,application/x-javascript,gzip,,-1,111,111,,1123,1234,,-1,0,0,-1,0,0,0,0,345,694,355,0,http://thehill.com/,84,"Thu, 31 Dec 2037 23:55:55 GMT",0,
07/08/2015,11:45:35,-,-,16,thehill.com,64.147.104.30,/sites/all/modules/colorbox/styles/default/colorbox_style.js?nr4dh8,GET,200,application/x-javascript,gzip,,-1,120,120,,1179,1299,,-1,0,0,-1,0,0,0,0,295,644,373,0,http://thehill.com/,85,"Thu, 31 Dec 2037 23:55:55 GMT",0,
