Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,12:07:57,-,-,1,al.com,216.146.46.10,/,GET,301,text/html,,,-1,120,120,,184,304,,-1,0,69,-1,0,0,69,184,184,376,343,0,,,,0,
07/08/2015,12:07:57,-,-,2,www.al.com,2.21.243.73,/,GET,200,text/html,gzip,Akamai,-1,167,129,,405,572,,-1,305,373,-1,0,0,373,404,24351,24842,347,0,,,"Wed, 08 Jul 2015 12:08:08 GMT",0,
07/08/2015,12:07:57,-,-,3,www.al.com,2.21.243.73,/static/aff/static/css/main.css,GET,200,text/css,gzip,Akamai,-1,149,42,,570,719,,-1,0,0,-1,0,0,373,406,47875,48303,350,0,http://www.al.com/,88,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,4,www.al.com,2.21.243.73,/static/common/js/libs/modernizr-2.6.2.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,87,76,,574,661,,-1,0,0,-1,0,0,0,0,6323,6764,349,0,http://www.al.com/,90,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,5,www.al.com,2.21.243.73,/static/common/js/galleria/adv_galleria.css,GET,200,text/css,gzip,Akamai,-1,68,60,,602,670,,-1,0,0,-1,0,0,570,602,5097,5522,362,0,http://www.al.com/,145,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,6,www.al.com,2.21.243.73,/static/common/js/galleria/jquery.mCustomScrollbar.css,GET,200,text/css,gzip,Akamai,-1,82,79,,607,689,,-1,0,0,-1,0,0,571,607,2267,2692,373,0,http://www.al.com/,146,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,7,www.al.com,2.21.243.73,/static/common/js/adv-js-loader.js,GET,200,application/x-javascript,gzip,Akamai,-1,75,74,,608,683,,-1,0,0,-1,0,0,573,607,1629,2068,338,0,http://www.al.com/,91,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,8,www.al.com,2.21.243.73,/static/common/js/resimg.js,GET,200,application/x-javascript,gzip,Akamai,-1,72,62,,661,733,,-1,0,0,-1,0,0,0,0,6740,7181,331,0,http://www.al.com/,97,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,9,www.al.com,2.21.243.73,/static/common/js/adv_gigya.js,GET,200,application/x-javascript,gzip,Akamai,-1,80,74,,662,742,,-1,0,0,-1,0,0,577,661,5522,5963,334,0,http://www.al.com/,129,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,10,www.al.com,2.21.243.73,/static/common/js/ads/ads.js,GET,200,application/x-javascript,gzip,Akamai,-1,104,77,,670,774,,-1,0,0,-1,0,0,0,0,17142,17584,332,0,http://www.al.com/,140,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,11,www.al.com,2.21.243.73,/static/aff/static/js/homepage_res.js,GET,200,application/x-javascript,gzip,Akamai,-1,262,106,,684,946,,-1,0,0,-1,0,0,0,0,52985,53429,341,0,http://www.al.com/,5170,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,12,www.al.com,2.21.243.73,/static/common/js/gw/gw.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,127,87,,689,816,,-1,0,0,-1,0,0,0,0,11508,11950,334,0,http://www.al.com/,5184,"Wed, 08 Jul 2015 12:12:58 GMT",0,
07/08/2015,12:07:57,-,-,13,media.al.com,2.21.243.72,/static/common/js/jquery/jquery-1.8.2.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,145,55,,825,970,,-1,577,723,-1,0,0,723,824,37605,37999,350,0,http://www.al.com/,96,"Wed, 08 Jul 2015 11:46:59 GMT",0,
