Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,12:28:24,-,-,1,alternet.org,198.16.5.137,/,GET,301,text/html,gzip,,-1,115,115,,344,459,,-1,0,231,-1,0,0,231,344,191,610,349,0,,,"Sun, 12 Jul 2015 10:31:20 GMT",0,
07/08/2015,12:28:24,-,-,2,www.alternet.org,198.16.5.137,/,GET,200,text/html,gzip,,-1,461,116,,812,1273,,-1,461,702,-1,0,0,703,812,22893,23545,353,0,,,"Sun, 19 Nov 1978 05:00:00 GMT",0,
07/08/2015,12:28:24,-,-,3,www.alternet.org,198.16.5.137,/files/css/css_BNiTbf8_QXhdja8-4w_ZSUhyNDL9bazWTLIfPij7wWs.css,GET,200,text/css,gzip,,-1,130,122,,958,1088,,-1,0,0,-1,0,0,703,815,1573,2031,393,0,http://www.alternet.org/,41,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,-,-,4,www.alternet.org,198.16.5.137,/files/css/css_Dp2hIfXtLQBttSNrETAl59izBieDwmNiWcsAEzZUFYE.css,GET,200,text/css,gzip,,-1,119,116,,959,1078,,-1,0,0,-1,0,0,717,827,2461,2919,393,0,http://www.alternet.org/,42,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,ad,Google Adsense,5,pagead2.googlesyndication.com,74.125.136.156,/pagead/js/adsbygoogle.js,GET,200,text/javascript,gzip,Google,-1,58,40,,1065,1123,,-1,964,1030,-1,0,0,1031,1065,11813,12356,354,0,http://www.alternet.org/,68,"Wed, 08 Jul 2015 12:48:21 GMT",0,
07/08/2015,12:28:24,-,-,6,www.alternet.org,198.16.5.137,/files/css/css_iuZ0qkQmXUX7il9acfQ9ZkB_oA9nL9apzent2mNP5TU.css,GET,200,text/css,gzip,,-1,125,124,,1074,1199,,-1,0,0,-1,0,0,959,1073,2280,2738,393,0,http://www.alternet.org/,43,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,-,-,7,www.alternet.org,198.16.5.137,/files/css/css_Z-L6uKv-_hSUmer26uwVpZ7fbMbYte5FDvMMijICATA.css,GET,200,text/css,gzip,,-1,121,119,,1079,1200,,-1,0,0,-1,0,0,0,0,2493,2951,393,0,http://www.alternet.org/,44,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,-,-,8,www.alternet.org,198.16.5.137,/files/css/css_oVmFMloCDBe1TTnwXZcTI8YMHyUjZ6B6GIKkzCY1Zuk.css,GET,200,text/css,gzip,,-1,498,117,,1083,1581,,-1,0,0,-1,0,0,959,1083,24306,24766,393,0,http://www.alternet.org/,53,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,-,-,9,www.alternet.org,198.16.5.137,/files/js/js_3jHghlMLrjr9xXAC0JufqSSch3oAbkZstSqYdc4uuck.js,GET,200,text/javascript,gzip,,-1,628,126,,1083,1711,,-1,0,0,-1,0,0,959,1083,32493,32960,375,0,http://www.alternet.org/,108,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,-,-,10,www.alternet.org,198.16.5.137,/files/js/js_4RLg_0mcLz8_00RMt9A9Ud5xsS4fiSi3ArVfSZMKjy4.js,GET,200,text/javascript,gzip,,-1,267,126,,1089,1356,,-1,0,0,-1,0,0,0,0,11084,11551,375,0,http://www.alternet.org/,114,"Wed, 22 Jul 2015 11:45:05 GMT",0,
07/08/2015,12:28:24,-,-,11,www.alternet.org,198.16.5.137,/files/js/js_M_RZn45Cnb1T9Sarag0X8RHfV18bVDzOsiroC_kH9XI.js,GET,200,text/javascript,gzip,,-1,249,117,,1200,1449,,-1,0,0,-1,0,0,0,0,10364,10831,375,0,http://www.alternet.org/,115,"Wed, 22 Jul 2015 11:45:11 GMT",0,
07/08/2015,12:28:24,-,-,12,www.alternet.org,198.16.5.137,/files/js/js_N-TLwePL-LE0n6GBVKzt0Xa74oHzlYNPiNH6dUbdvKw.js,GET,200,text/javascript,gzip,,-1,128,124,,1202,1330,,-1,0,0,-1,0,0,0,0,3668,4133,375,0,http://www.alternet.org/,151,"Wed, 22 Jul 2015 11:45:11 GMT",0,
07/08/2015,12:28:24,-,-,13,www.rawstory.com,108.162.206.192,/rs/wp-content/uploads/2014/08/facebook.png,GET,301,text/html,,Cloudflare,-1,38,38,,1256,1294,,-1,1128,1224,-1,0,0,1224,1256,171,732,376,0,http://www.alternet.org/,169,"Thu, 09 Jul 2015 12:28:27 GMT",0,
