Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,12:27:33,-,-,1,dallasnews.com,147.136.62.50,/,GET,301,text/html,gzip,,-1,159,159,,503,662,,-1,0,348,-1,0,0,349,503,193,689,351,0,,,,0,
07/08/2015,12:27:33,-,-,2,www.dallasnews.com,147.136.62.50,/,GET,200,text/html,gzip,,-1,1334,161,,1007,2341,,-1,663,851,-1,0,0,851,1007,22656,23238,355,0,,,,0,
07/08/2015,12:27:33,-,-,3,www.dallasnews.com,147.136.62.50,/resrsc/js/dfpkrux.js,GET,200,application/x-javascript,gzip,,-1,160,160,,1330,1490,,-1,0,0,-1,0,0,851,1007,290,764,386,0,http://www.dallasnews.com/,47,,0,
07/08/2015,12:27:33,-,-,4,www.dallasnews.com,147.136.62.50,/resrsc/js/dfpinit.js,GET,200,application/x-javascript,gzip,,-1,160,160,,1331,1491,,-1,0,0,-1,0,0,920,1071,199,673,386,0,http://www.dallasnews.com/,81,,0,
07/08/2015,12:27:33,-,-,5,www.dallasnews.com,147.136.62.50,/resources/js/fb-tracking.js,GET,200,application/x-javascript,gzip,,-1,157,157,,1492,1649,,-1,0,0,-1,0,0,1333,1492,340,830,393,0,http://www.dallasnews.com/,119,,0,
07/08/2015,12:27:33,analytics,ChartBeat,6,static.chartbeat.com,23.62.130.127,/js/chartbeat_mab.js,GET,200,application/x-javascript,gzip,Akamai,-1,43,36,,1501,1544,,-1,1332,1470,-1,0,0,1470,1500,5382,5706,342,0,http://www.dallasnews.com/,90,,0,
07/08/2015,12:27:33,ad,DoubleClick,7,www.googletagservices.com,74.125.136.156,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,106,71,,1505,1611,,-1,1332,1471,-1,0,0,1472,1505,16514,17070,341,0,http://www.dallasnews.com/,48,"Wed, 08 Jul 2015 12:27:35 GMT",0,
07/08/2015,12:27:33,-,-,8,cdn0.dallasnews.com,147.136.62.64,/basic/css/common.css,GET,200,text/css,gzip,,-1,1790,159,,1927,3717,,-1,1330,1772,-1,0,0,1772,1926,45740,46220,378,0,http://www.dallasnews.com/,44,,0,
07/08/2015,12:27:33,-,-,9,cdn0.dallasnews.com,147.136.62.64,/basic/img/logos/dmn.svg,GET,200,image/svg+xml,gzip,,-1,481,162,,1927,2408,,-1,0,0,-1,0,0,1772,1926,5581,6100,383,0,http://www.dallasnews.com/,202,,0,
07/08/2015,12:27:33,-,-,10,res.dallasnews.com,147.136.62.64,/resrsc/www/css/alerts-basic.css,GET,200,text/css,gzip,,-1,158,158,,1949,2107,,-1,1491,1798,-1,0,0,1798,1949,371,843,388,0,http://www.dallasnews.com/,428,,0,
